Solvent,Parent_SMILES,Bond_Index,Frag1_SMILES,Frag2_SMILES,BDE_wB97X-V
Gas,[H]OS(=O)(=O)C([H])([H])C([H])([H])C(F)(F)C(F)(F)C(F)(F)F,0,[H][O],[H]C([H])([S](=O)=O)C([H])([H])C(F)(F)C(F)(F)C(F)(F)F,88.18693590446458
Gas,[H]OS(=O)(=O)C([H])([H])C([H])([H])C(F)(F)C(F)(F)C(F)(F)F,3,[H]O[S](=O)=O,[H][C]([H])C([H])([H])C(F)(F)C(F)(F)C(F)(F)F,76.41324984295295
Gas,[H]OS(=O)(=O)C([H])([H])C([H])([H])C(F)(F)C(F)(F)C(F)(F)F,4,[H]OS(=O)(=O)[C]([H])[H],[H][C]([H])C(F)(F)C(F)(F)C(F)(F)F,94.13402378822582
Gas,[H]OS(=O)(=O)C([H])([H])C([H])([H])C(F)(F)C(F)(F)C(F)(F)F,5,[H]OS(=O)(=O)C([H])([H])[C]([H])[H],F[C](F)C(F)(F)C(F)(F)F,94.12590761798697
Gas,[H]OS(=O)(=O)C([H])([H])C([H])([H])C(F)(F)C(F)(F)C(F)(F)F,6,[H]OS(=O)(=O)C([H])([H])C([H])([H])[C](F)C(F)(F)C(F)(F)F,[F],116.30293029530378
Gas,[H]OS(=O)(=O)C([H])([H])C([H])([H])C(F)(F)C(F)(F)C(F)(F)F,8,[H]OS(=O)(=O)C([H])([H])C([H])([H])[C](F)F,F[C](F)C(F)(F)F,89.38533434552937
Gas,[H]OS(=O)(=O)C([H])([H])C([H])([H])C(F)(F)C(F)(F)C(F)(F)F,9,[H]OS(=O)(=O)C([H])([H])C([H])([H])C(F)(F)[C](F)C(F)(F)F,[F],116.37320039848021
Gas,[H]OS(=O)(=O)C([H])([H])C([H])([H])C(F)(F)C(F)(F)C(F)(F)F,11,[H]OS(=O)(=O)C([H])([H])C([H])([H])C(F)(F)[C](F)F,F[C](F)F,91.40971222287249
Gas,[H]OS(=O)(=O)C([H])([H])C([H])([H])C(F)(F)C(F)(F)C(F)(F)F,12,[H]OS(=O)(=O)C([H])([H])C([H])([H])C(F)(F)C(F)(F)[C](F)F,[F],122.67066237179392
Gas,[H]OS(=O)(=O)C([H])([H])C([H])([H])C(F)(F)C(F)(F)C(F)(F)F,15,[H]C([H])(C(F)(F)C(F)(F)C(F)(F)F)C([H])([H])S([O])(=O)=O,[H],106.71911872845214
Gas,[H]OS(=O)(=O)C([H])([H])C([H])([H])C(F)(F)C(F)(F)C(F)(F)F,16,[H]OS(=O)(=O)[C]([H])C([H])([H])C(F)(F)C(F)(F)C(F)(F)F,[H],99.88833126397083
Gas,[H]OS(=O)(=O)C([H])([H])C([H])([H])C(F)(F)C(F)(F)C(F)(F)F,18,[H]OS(=O)(=O)C([H])([H])[C]([H])C(F)(F)C(F)(F)C(F)(F)F,[H],99.93478465120688
Gas,O=C(F)C(F)(F)C(F)(F)F,1,O=[C]C(F)(F)C(F)(F)F,[F],118.31938622986684
Gas,O=C(F)C(F)(F)C(F)(F)F,3,O=C(F)[C](F)C(F)(F)F,[F],106.76626800197653
Gas,O=C(F)C(F)(F)C(F)(F)F,6,O=C(F)C(F)(F)[C](F)F,[F],123.23199309839026
Gas,[H]OC(=O)C([H])=C([H])C(F)(F)C(F)(F)C(F)(F)F,0,[H][O],[H]C([C]=O)=C([H])C(F)(F)C(F)(F)C(F)(F)F,102.8626072417785
Gas,[H]OC(=O)C([H])=C([H])C(F)(F)C(F)(F)C(F)(F)F,2,[H]O[C]=O,[H][C]=C([H])C(F)(F)C(F)(F)C(F)(F)F,105.57361297885109
