Solvent,Inchikey,Smiles,canonical_smiles,protonation_state,n_F,n_CF3,n_CF2,fluorination_ratio,mw,dipole_moment_debye,gibbs_free_energy_Eh,enthalpy_Eh,homo_lumo_gap_alpha_Eh,homo_lumo_gap_beta_Eh,homo_lumo_gap_eV,oxidation_potential_V_vs_SHE,reduction_potential_V_vs_SHE,logKow,logKaw,is_charged_logp_table,headgroup,n_CF,is_open_shell,has_imaginary
DMSO,AATZCJOTBIKSPP-UHFFFAOYSA-N,[H]C([H])([C]=O)N(C([H])([H])C([H])([H])[H])S(=O)(=O)C(F)(F)F,CCN(C[C]=O)S(=O)(=O)C(F)(F)F,neutral,3,1,0,0.3,218.17599999999996,7.299226815,-1172.7725415776788,-1172.717859537723,0.361527,0.397113,,,,,,,,0,True,False
DMSO,ABAGZKWWYVJOKG-UHFFFAOYSA-M,[H][C](C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)S(=O)(=O)[O-],O=S(=O)([O-])C(F)(F)C(F)(F)[CH]C(F)(F)C(F)(F)F,neutral,9,1,3,0.9,312.10900000000004,11.395169615,-1713.7850241361602,-1713.7235647689652,0.411935,0.32300999999999996,,,,,,,,0,True,False
DMSO,ABOKROFVSJMMIG-UHFFFAOYSA-M,[O]P(=O)([O-])C(F)(F)C(F)(F)F,[O]P(=O)([O-])C(F)(F)C(F)(F)F,neutral,5,1,1,1.0,197.98299999999998,6.769009189,-1142.712387552308,-1142.6641208636167,0.44964000000000004,0.29945299999999997,,,,,,,,0,True,False
DMSO,ABOKROFVSJMMIG-UHFFFAOYSA-N,[H]OP([O])(=O)C(F)(F)C(F)(F)F,[O]P(=O)(O)C(F)(F)C(F)(F)F,neutral,5,1,1,1.0,198.99099999999996,3.998003173,-1143.12593070027,-1143.0766616532374,0.5096539999999999,0.30567300000000003,,,,,,,,0,True,False
DMSO,ABQNKVCIHZCTHY-UHFFFAOYSA-M,[H][C]([H])S(=O)(=O)[O-],[CH2]S(=O)(=O)[O-],neutral,0,0,0,0.0,94.091,4.466862579,-663.2446604834297,-663.2094143771258,0.377631,0.33849399999999996,,,,,,,,0,True,False
DMSO,ABQNKVCIHZCTHY-UHFFFAOYSA-N,[H]OS(=O)(=O)[C]([H])[H],[CH2]S(=O)(=O)O,neutral,0,0,0,0.0,95.09899999999999,5.70177726,-663.674831778819,-663.6387158368161,0.425007,0.389164,,,,,,,,0,True,False
DMSO,ACANYNXDVKHBFU-UHFFFAOYSA-M,[H]OC1(S(=O)(=O)[O-])C(F)(F)[C](F)C(F)(F)C(F)(F)C1(F)F,O=S(=O)([O-])C1(O)C(F)(F)[C](F)C(F)(F)C(F)(F)C1(F)F,neutral,9,0,4,1.0,340.1189999999999,7.351701032,-1827.1004960813848,-1827.0383374245368,0.407831,0.333984,,,,,,,,1,True,False
DMSO,ACANYNXDVKHBFU-UHFFFAOYSA-N,[H]OC1(S(=O)(=O)O[H])C(F)(F)[C](F)C(F)(F)C(F)(F)C1(F)F,O=S(=O)(O)C1(O)C(F)(F)[C](F)C(F)(F)C(F)(F)C1(F)F,neutral,9,0,4,1.0,341.12699999999995,5.100871057,-1827.5080788326352,-1827.444415613909,0.42920400000000003,0.373249,,,,,,,,1,True,False
DMSO,ACEKLXZRZOWKRY-UHFFFAOYSA-M,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,neutral,11,1,4,1.0,349.0969999999999,16.128542014,-1912.9402072330383,-1912.876599773923,,,11.290874917820291,,,-2.9716313453597487,-34.84049927880662,True,Sulphonate,0,False,False
DMSO,ACEKLXZRZOWKRY-UHFFFAOYSA-N,[H]OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,neutral,11,1,4,1.0,350.1049999999999,3.534405684,-1913.345960117848,-1913.2815253959764,,,13.33058600804706,,,1.1783084556567127,-2.364380725165358,False,Sulphonate,0,False,False
