Solvent,Parent_SMILES,Bond_Index,Frag1_SMILES,Frag2_SMILES,BDE_wB97X-V
Gas,[H]OC(F)(F)F,0,[H][O],F[C](F)F,112.84039003246804
Gas,[H]OC(F)(F)F,1,[H]O[C](F)F,[F],126.67134484875291
Gas,[H]OC(F)(F)F,4,[O]C(F)(F)F,[H],115.65047488976361
Gas,[H]c1c([H])c([H])c([H])c([H])c1[H],6,[H]c1[c]c([H])c([H])c([H])c1[H],[H],112.23230602390892
Gas,[H]OS(=O)(=O)C(F)(F)OC(F)(F)OC(F)(F)OC(F)(F)F,0,[H][O],O=[S](=O)C(F)(F)OC(F)(F)OC(F)(F)OC(F)(F)F,85.87784758585087
Gas,[H]OS(=O)(=O)C(F)(F)OC(F)(F)OC(F)(F)OC(F)(F)F,3,[H]O[S](=O)=O,F[C](F)OC(F)(F)OC(F)(F)OC(F)(F)F,63.92392114462609
Gas,[H]OS(=O)(=O)C(F)(F)OC(F)(F)OC(F)(F)OC(F)(F)F,4,[H]OS(=O)(=O)[C](F)OC(F)(F)OC(F)(F)OC(F)(F)F,[F],116.00049723279596
Gas,[H]OS(=O)(=O)C(F)(F)OC(F)(F)OC(F)(F)OC(F)(F)F,6,[H]OS(=O)(=O)[C](F)F,[O]C(F)(F)OC(F)(F)OC(F)(F)F,96.53464558654548
Gas,[H]OS(=O)(=O)C(F)(F)OC(F)(F)OC(F)(F)OC(F)(F)F,7,[H]OS(=O)(=O)C([O])(F)F,F[C](F)OC(F)(F)OC(F)(F)F,60.720718429748786
Gas,[H]OS(=O)(=O)C(F)(F)OC(F)(F)OC(F)(F)OC(F)(F)F,8,[H]OS(=O)(=O)C(F)(F)O[C](F)OC(F)(F)OC(F)(F)F,[F],119.97911550698291
Gas,[H]OS(=O)(=O)C(F)(F)OC(F)(F)OC(F)(F)OC(F)(F)F,10,[H]OS(=O)(=O)C(F)(F)O[C](F)F,[O]C(F)(F)OC(F)(F)F,99.33799085493263
Gas,[H]OS(=O)(=O)C(F)(F)OC(F)(F)OC(F)(F)OC(F)(F)F,11,[H]OS(=O)(=O)C(F)(F)OC([O])(F)F,F[C](F)OC(F)(F)F,99.43594082781317
Gas,[H]OS(=O)(=O)C(F)(F)OC(F)(F)OC(F)(F)OC(F)(F)F,12,[H]OS(=O)(=O)C(F)(F)OC(F)(F)O[C](F)OC(F)(F)F,[F],119.04779314336395
