Molecule,SMILES,Radical,Carboxyl Group,Sulfur Group,Method,Mulliken,XYZ,Raw Frequencies,Single Point,Trans Thermal Corrections,Rot Thermal Corrections,Entropy,Gibbs Free Energy,Dipole Moment,Imaginary,Spin Contamination,HOMO-LUMO,Frequencies,ZPE,Enthalpy,Leowdin,EA vertical,IP vertical,IP,IP Spin Contamination,IP T1,IP imaginary,EA,EA Spin Contamination,EA T1,EA imaginary,EA_Enthalpy,IP_Enthalpy,IP Single Point,EA Single Point,EA vertical Spin Contamination,IP vertical Spin Contamination,T1,Method_Name,Method_Category,Canonical_SMILES
JTRIUPVSQUCCHH-UHFFFAOYSA-N,[H]C([H])([H])[S](=O)=O,True,False,False,69,"[('C', -0.531017, 0.125911), ('S', 0.756973, 0.396343), ('O', -0.514594, 0.232851), ('O', -0.51438, 0.232869), ('H', 0.270546, -0.004934), ('H', 0.261902, 0.021903), ('H', 0.27057, -0.004943)]","[('C', -0.778297, 0.007764, 0.00213), ('S', 0.965841, 0.008017, -0.386398), ('O', 1.556102, 1.234948, 0.131838), ('O', 1.531064, -1.273106, 0.015378), ('H', -1.221301, -0.868997, -0.469687), ('H', -0.851155, -0.042699, 1.091851), ('H', -1.202254, 0.933974, -0.385111)]","[180.39, 318.95, 396.89, 473.16, 687.31, 960.62, 980.08, 1122.14, 1282.31, 1335.65, 1415.83, 1428.24, 3078.7, 3194.59, 3217.07]",-588.48398359,0.00141627,0.00141627,-0.0336675300000024,-588.46634211,5.458047832,False,False,"(89.098304, 88.97405099999999)","[180.39, 318.95, 396.89, 473.16, 687.31, 960.62, 980.08, 1122.14, 1282.31, 1335.65, 1415.83, 1428.24, 3078.7, 3194.59, 3217.07]",0.045727221126491,-588.4326747590612,"[('C', -0.162365, 0.112737), ('S', 0.768893, 0.396812), ('O', -0.419186, 0.239477), ('O', -0.419063, 0.239496), ('H', 0.074173, 0.000175), ('H', 0.083407, 0.011128), ('H', 0.074141, 0.000176)]",0.1582134780370552,0.2711949644959759,0.2307352819349479,,,False,0.1838617709644992,,,False,-588.6166032300345,-588.2018098715146,-588.25365569,-588.66688525,,,,ωB97X-V,Range Seperated Hybrid meta GGA,[H]C([H])([H])[S](=O)=O
CO2rCF2CF2CF3,[O]C(=O)C(F)(F)C(F)(F)C(F)(F)F,True,True,False,69,"[('O', -0.124795, 0.927572), ('F', -0.23258, 0.005314), ('F', -0.208279, -5e-05), ('F', -0.241581, 0.00066), ('C', 0.236722, -0.051171), ('C', 0.771107, 0.020711), ('C', 0.704789, 0.00138), ('O', -0.457965, 0.091593), ('C', 0.47627, 0.000583), ('F', -0.243868, 0.00341), ('F', -0.223541, -0.000798), ('F', -0.211831, 0.000286), ('F', -0.244448, 0.000511)]","[('O', -1.470187, -0.327835, 0.030244), ('F', -1.035306, 2.957364, -0.62558), ('F', 3.112653, 0.850971, -1.184445), ('F', 1.638569, 2.957946, -0.268311), ('C', -1.25181, 0.640178, -0.823006), ('C', -0.409526, 1.820885, -0.273546), ('C', 1.0353, 1.906986, -0.849091), ('O', -1.690487, 0.588943, -1.942505), ('C', 1.923704, 0.654619, -0.624539), ('F', -0.340155, 1.755475, 1.067577), ('F', 1.349102, -0.410463, -1.19039), ('F', 2.089269, 0.420292, 0.673754), ('F', 0.953066, 2.125468, -2.172361)]",,-1001.813460827377,,,,,1.849047682,,False,"(24.859126, 24.696599000000003)",,,,"[('O', 0.310376, 0.834711), ('F', 0.167447, 0.008366), ('F', 0.195226, 3e-06), ('F', 0.171156, 0.001012), ('C', -0.450296, 0.046375), ('C', -0.361818, 0.013807), ('C', -0.357324, 0.001389), ('O', 0.155851, 0.085224), ('C', -0.548061, -5.2e-05), ('F', 0.162644, 0.009124), ('F', 0.189811, -0.00068), ('F', 0.194055, 0.000125), ('F', 0.170934, 0.000596)]",0.2486900657530668,0.4280474792830091,,,,,,,,,,,,,,,,ωB97X-V,Range Seperated Hybrid meta GGA,[O]C(=O)C(F)(F)C(F)(F)C(F)(F)F
CF3H,FC(F)(F),False,False,False,69,"[('C', 0.420571), ('F', -0.197128), ('F', -0.197115), ('F', -0.197039), ('H', 0.170711)]","[('C', -3.7e-05, 5e-06, 0.349644), ('F', -0.628668, -1.082842, -0.134986), ('F', -0.623478, 1.085838, -0.134992), ('F', 1.252096, -0.002994, -0.134885), ('H', 6.7e-05, -5e-06, 1.43958)]","[502.63, 502.83, 691.86, 1108.03, 1109.05, 1128.77, 1379.95, 1381.07, 3199.52]",-338.2850397,0.00141627,0.00141627,-0.030548250000038,-338.28609611,2.187063995,False,,0.573536,"[502.63, 502.83, 691.86, 1108.03, 1109.05, 1128.77, 1379.95, 1381.07, 3199.52]",0.0250682958929102,-338.2555479357716,"[('C', -0.460758), ('F', 0.094226), ('F', 0.094237), ('F', 0.094249), ('H', 0.178046)]",0.0146595109759459,0.4458602867690047,0.3732658224839993,False,,False,0.0266991449602209,False,,False,-338.28224110094374,-337.8821864328065,-337.90630828,-338.31161571,False,False,,ωB97X-V,Range Seperated Hybrid meta GGA,[H]C(F)(F)F
CF2_1,[C](F)F,True,False,False,69,"[('C', 0.259013, 1.70928), ('F', -0.129471, 0.14535), ('F', -0.129542, 0.14537)]","[('C', -1.015627, 3.753113, -0.311839), ('F', -2.332374, 3.744589, -0.311839), ('F', -0.366898, 2.607222, -0.311839)]","[512.14, 1144.7, 1290.74]",-237.63359259,0.00141627,0.00141627,-0.0284930900000119,-237.65134602,0.414842306,False,False,False,"[512.14, 1144.7, 1290.74]",0.0067150813323891,-237.62285298973768,"[('C', -0.10188, 1.362417), ('F', 0.050919, 0.318799), ('F', 0.050961, 0.318784)]",0.0937279333450078,0.2229399532800187,0.2027929345426512,False,,False,0.1170721906070886,False,,False,-237.7400071702836,-237.42015993741032,-237.43247543,-237.75079434,False,False,,ωB97X-V,Range Seperated Hybrid meta GGA,F[C]F
H2O,O,False,False,False,69,"[('O', -0.734022), ('H', 0.367011), ('H', 0.36701)]","[('O', 0.0, -0.0, 0.117959), ('H', 0.0, 0.761718, -0.474287), ('H', 0.0, -0.761718, -0.474287)]","[1592.37, 3806.66, 3885.39]",-76.44654343,0.00141627,0.00141627,-0.021434499999998,-76.44304638,2.44490091,False,,0.512587,"[1592.37, 3806.66, 3885.39]",0.0211514650744206,-76.42161190069457,"[('O', -0.101336), ('H', 0.050668), ('H', 0.050668)]",0.0121811212760007,0.3138801244679996,0.3095551194365885,False,,False,0.0241781867206847,False,,[-5807.73],-76.44578341879692,-76.11205448131545,-76.13490725,-76.4604818,False,False,,ωB97X-V,Range Seperated Hybrid meta GGA,[H]O[H]
PFOA,[H]OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,False,False,False,69,"[('C', -0.140518), ('C', 0.674533), ('C', 0.557881), ('F', -0.285305), ('C', 0.527884), ('F', -0.294033), ('C', 0.491565), ('F', -0.28747), ('F', -0.286141), ('C', 1.199443), ('F', -0.289577), ('F', -0.298472), ('F', -0.264577), ('F', -0.261545), ('O', -0.338039), ('H', 0.392002), ('O', -0.496971), ('F', -0.281785), ('F', -0.28682), ('C', 0.772041), ('F', -0.259265), ('C', 0.370719), ('F', -0.260308), ('F', -0.218121), ('F', -0.22111), ('F', -0.216011)]","[('C', 4.752764, 0.111158, -0.382748), ('C', -0.394507, 0.442186, 0.030284), ('C', 0.878547, -0.453218, 0.166175), ('F', -0.284323, 1.189584, -1.08265), ('C', -1.717186, -0.384809, -0.059589), ('F', -0.463165, 1.255276, 1.099538), ('C', 2.194391, 0.306306, -0.195182), ('F', 0.9605, -0.890286, 1.435332), ('F', 0.754852, -1.51277, -0.653334), ('C', 3.480856, -0.371493, 0.36281), ('F', 2.304468, 0.361534, -1.53741), ('F', 2.12341, 1.561049, 0.285559), ('F', 3.367939, -1.702592, 0.208101), ('F', 3.588221, -0.096106, 1.678615), ('O', 5.014764, 1.36747, -0.079259), ('H', 5.809256, 1.666978, -0.558386), ('O', 5.365233, -0.606827, -1.123072), ('F', -1.656603, -1.411434, 0.807666), ('F', -1.833589, -0.877108, -1.305614), ('C', -2.983653, 0.465227, 0.27502), ('F', -2.864127, 1.687422, -0.274616), ('C', -4.313861, -0.15907, -0.242901), ('F', -3.077538, 0.593167, 1.608134), ('F', -5.336675, 0.498679, 0.298833), ('F', -4.391979, -1.442541, 0.106695), ('F', -4.397885, -0.061337, -1.566457)]",,-1953.784941713757,,,,,3.240840238,,,0.46444399999999997,,,,"[('C', -0.424759), ('C', -0.341396), ('C', -0.341538), ('F', 0.168682), ('C', -0.342637), ('F', 0.16827), ('C', -0.345125), ('F', 0.167881), ('F', 0.167699), ('C', -0.359805), ('F', 0.167245), ('F', 0.166488), ('F', 0.153378), ('F', 0.153345), ('O', 0.188709), ('H', 0.179791), ('O', 0.131176), ('F', 0.168018), ('F', 0.168171), ('C', -0.346269), ('F', 0.169479), ('C', -0.552081), ('F', 0.168547), ('F', 0.188987), ('F', 0.190068), ('F', 0.187675)]",0.0543197285630867,0.3242448297369265,,,,,,,,,,,,,False,False,,ωB97X-V,Range Seperated Hybrid meta GGA,[H]OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
PFBS,[H]OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,False,False,False,69,"[('C', 0.411913), ('C', 0.694506), ('F', -0.215711), ('F', -0.218272), ('C', 0.446711), ('F', -0.254997), ('F', -0.258956), ('C', 0.773863), ('F', -0.236619), ('F', -0.233617), ('F', -0.26132), ('F', -0.259852), ('S', 0.993717), ('O', -0.56358), ('O', -0.424184), ('O', -0.585934), ('H', 0.406735), ('F', -0.214404)]","[('C', 2.811944, -0.289699, -0.055131), ('C', 1.501653, 0.522166, 0.173651), ('F', 3.846774, 0.435653, 0.362092), ('F', 2.776914, -1.429134, 0.634339), ('C', 0.200624, -0.318142, -0.011377), ('F', 1.527267, 1.006443, 1.425042), ('F', 1.493399, 1.549129, -0.695461), ('C', -1.071293, 0.562799, -0.200551), ('F', -1.048944, 1.597055, 0.653666), ('F', -1.108097, 1.024684, -1.455804), ('F', 0.034522, -1.094756, 1.074012), ('F', 0.332379, -1.105671, -1.091991), ('S', -2.636402, -0.378506, 0.103709), ('O', -2.783973, -0.532037, 1.512123), ('O', -3.67065, 0.639783, -0.452206), ('O', -2.615489, -1.492043, -0.781281), ('H', -3.981845, 1.272735, 0.225625), ('F', 2.976535, -0.564429, -1.345669)]",,-1675.570297851493,,,,,4.212751469,,,0.493048,,,,"[('C', -0.551919), ('C', -0.348088), ('F', 0.190279), ('F', 0.191045), ('C', -0.374998), ('F', 0.170619), ('F', 0.171324), ('C', -0.466293), ('F', 0.14265), ('F', 0.141743), ('F', 0.154947), ('F', 0.164527), ('S', 0.646679), ('O', -0.249252), ('O', -0.085005), ('O', -0.243609), ('H', 0.156832), ('F', 0.18852)]",0.0311627199989743,0.3657886574740132,,,,,,,,,,,,,False,False,,ωB97X-V,Range Seperated Hybrid meta GGA,[H]OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
MEISGHITZGETRX-UHFFFAOYSA-N,O=[S](=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,True,False,False,69,"[('O', -0.45371, 0.232154), ('S', 0.639655, 0.315667), ('O', -0.455804, 0.233046), ('C', 0.698507, 0.143627), ('F', -0.199459, 0.011404), ('F', -0.203656, 0.013494), ('C', 0.533475, 0.030892), ('F', -0.26376, 0.001299), ('F', -0.251112, 0.001922), ('C', 0.5336, 0.011964), ('F', -0.280324, 0.000163), ('F', -0.275824, 0.000337), ('C', 0.55733, 0.002587), ('F', -0.275839, -0.000125), ('F', -0.277783, 0.000179), ('C', 0.76006, 0.000721), ('F', -0.258835, 2.9e-05), ('F', -0.257721, -7e-05), ('C', 0.38101, 0.000662), ('F', -0.218319, -2.5e-05), ('F', -0.214039, 9e-06), ('F', -0.217452, 6.5e-05)]","[('O', -4.586487, 1.016579, -0.834472), ('S', -4.349043, 0.328527, 0.412079), ('O', -4.164331, 1.046259, 1.653101), ('C', -2.740893, -0.695619, 0.171741), ('F', -2.757296, -1.646886, 1.098246), ('F', -2.807722, -1.228415, -1.043452), ('C', -1.478057, 0.207956, 0.325982), ('F', -1.719846, 1.381907, -0.279858), ('F', -1.27286, 0.420567, 1.634013), ('C', -0.200439, -0.439211, -0.303634), ('F', -0.189973, -1.747344, 0.00647), ('F', -0.269941, -0.30647, -1.638461), ('C', 1.124097, 0.21182, 0.212337), ('F', 0.960939, 1.546049, 0.267308), ('F', 1.369929, -0.248241, 1.450935), ('C', 2.350731, -0.099491, -0.700901), ('F', 2.269796, 0.654599, -1.808433), ('F', 2.325752, -1.398353, -1.050791), ('C', 3.728239, 0.186448, -0.030915), ('F', 3.751218, 1.417408, 0.478246), ('F', 3.976049, -0.691356, 0.936416), ('F', 4.680238, 0.083267, -0.955857)]","[7.88, 29.77, 37.72, 41.03, 58.79, 67.97, 71.81, 121.99, 130.0, 174.48, 180.46, 188.24, 191.53, 216.55, 233.49, 245.12, 248.8, 271.8, 289.56, 300.29, 314.2, 335.23, 348.31, 359.39, 367.63, 374.01, 392.46, 405.11, 469.93, 494.43, 528.02, 534.16, 563.41, 569.94, 594.34, 607.84, 642.92, 669.9, 698.76, 732.48, 757.47, 863.83, 1030.83, 1115.96, 1140.48, 1147.15, 1161.94, 1194.13, 1195.61, 1206.54, 1207.96, 1215.57, 1228.32, 1238.89, 1259.19, 1274.24, 1317.45, 1337.97, 1340.84, 1392.82]",-2075.31213561,0.00141627,0.00141627,-0.0710824099996898,-2075.27749509,2.432299342,False,False,"(89.11030600000001, 88.96314799999999)","[100, 100, 100, 100, 100, 100, 100, 121.99, 130.0, 174.48, 180.46, 188.24, 191.53, 216.55, 233.49, 245.12, 248.8, 271.8, 289.56, 300.29, 314.2, 335.23, 348.31, 359.39, 367.63, 374.01, 392.46, 405.11, 469.93, 494.43, 528.02, 534.16, 563.41, 569.94, 594.34, 607.84, 642.92, 669.9, 698.76, 732.48, 757.47, 863.83, 1030.83, 1115.96, 1140.48, 1147.15, 1161.94, 1194.13, 1195.61, 1206.54, 1207.96, 1215.57, 1228.32, 1238.89, 1259.19, 1274.24, 1317.45, 1337.97, 1340.84, 1392.82]",0.084570070284271,-2075.206317284116,"[('O', -0.339023, 0.233604), ('S', 0.926599, 0.324879), ('O', -0.337008, 0.235317), ('C', -0.499687, 0.140268), ('F', 0.1456, 0.014002), ('F', 0.150118, 0.019276), ('C', -0.382452, 0.019319), ('F', 0.154682, 0.00109), ('F', 0.168228, 0.00171), ('C', -0.342844, 0.007364), ('F', 0.172438, -0.00027), ('F', 0.174111, 0.000607), ('C', -0.342465, 0.001947), ('F', 0.170212, -3.4e-05), ('F', 0.171016, 0.000128), ('C', -0.346797, 0.000567), ('F', 0.169652, 3.3e-05), ('F', 0.17127, -2.5e-05), ('C', -0.552238, 0.000138), ('F', 0.190766, -5e-06), ('F', 0.18836, 5e-06), ('F', 0.189461, 7.9e-05)]",0.1943621592149611,0.3047907833251884,0.2410284122436952,,,[-25.33],0.2150486262054591,,,False,-2075.421557297278,-2074.9639909579846,-2075.07106512,-2075.52667723,,,,ωB97X-V,Range Seperated Hybrid meta GGA,O=[S](=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
SMOSELQJNSRSAY-UHFFFAOYSA-N,[H]C([H])([C]=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,True,False,False,69,"[('C', -0.037757, 0.107746), ('C', -0.397562, 0.674904), ('O', -0.30417, 0.223564), ('C', 0.589418, -0.042738), ('F', -0.279596, 0.003995), ('F', -0.279089, 0.004097), ('C', 0.586731, 0.026937), ('F', -0.276762, 0.000377), ('F', -0.292486, 0.002594), ('C', 0.609736, -0.001144), ('F', -0.282586, -0.000251), ('F', -0.294892, -1e-05), ('C', 0.554466, 0.000192), ('F', -0.284785, -7.3e-05), ('F', -0.282635, 2e-05), ('C', 0.754495, -0.000134), ('F', -0.258156, -1e-06), ('F', -0.261008, -1.2e-05), ('C', 0.380165, 1e-05), ('F', -0.218353, -4e-06), ('F', -0.219866, -3e-06), ('F', -0.214542, 0.0), ('H', 0.334694, -0.002745), ('H', 0.374541, 0.00268)]","[('C', -3.589008, -0.216361, 0.59154), ('C', -4.864421, 0.200635, -0.104857), ('O', -5.970122, -0.033396, 0.23209), ('C', -2.379062, 0.218554, -0.205293), ('F', -2.339626, 1.574195, -0.314655), ('F', -2.439318, -0.283183, -1.465485), ('C', -1.037747, -0.246558, 0.429599), ('F', -0.929159, -1.58073, 0.257436), ('F', -1.073191, 0.012937, 1.751898), ('C', 0.233627, 0.443957, -0.160473), ('F', 0.107851, 0.55427, -1.494788), ('F', 0.335178, 1.678699, 0.367022), ('C', 1.550715, -0.341473, 0.144037), ('F', 1.513077, -0.796497, 1.410033), ('F', 1.626906, -1.392978, -0.691745), ('C', 2.83504, 0.529369, -0.02133), ('F', 2.731556, 1.277676, -1.134973), ('F', 2.948865, 1.341117, 1.0427), ('C', 4.150109, -0.299623, -0.127139), ('F', 5.187628, 0.530701, -0.043026), ('F', 4.223333, -1.183177, 0.867637), ('F', 4.21493, -0.944316, -1.288409), ('H', -3.584035, 0.250988, 1.580694), ('H', -3.600836, -1.305142, 0.706147)]","[19.59, 32.56, 34.98, 48.01, 60.89, 69.3, 76.21, 114.68, 147.72, 152.64, 173.87, 196.95, 207.01, 222.55, 235.32, 250.54, 253.47, 259.54, 284.81, 309.41, 313.41, 342.01, 350.61, 362.92, 373.48, 382.65, 400.11, 420.15, 464.67, 524.97, 530.53, 551.76, 566.2, 582.43, 606.06, 629.55, 663.07, 699.51, 723.27, 761.52, 791.26, 818.14, 908.48, 966.94, 1062.31, 1081.11, 1135.38, 1153.77, 1180.24, 1188.6, 1198.07, 1198.39, 1207.31, 1217.47, 1226.79, 1254.33, 1260.29, 1286.53, 1322.56, 1345.88, 1360.85, 1400.01, 1413.88, 1936.51, 3089.1, 3157.7]",-1679.37720302,0.00141627,0.00141627,-0.0702065400000719,-1679.3148796,2.608238068,False,False,"(24.875401, 24.830101)","[100, 100, 100, 100, 100, 100, 100, 114.68, 147.72, 152.64, 173.87, 196.95, 207.01, 222.55, 235.32, 250.54, 253.47, 259.54, 284.81, 309.41, 313.41, 342.01, 350.61, 362.92, 373.48, 382.65, 400.11, 420.15, 464.67, 524.97, 530.53, 551.76, 566.2, 582.43, 606.06, 629.55, 663.07, 699.51, 723.27, 761.52, 791.26, 818.14, 908.48, 966.94, 1062.31, 1081.11, 1135.38, 1153.77, 1180.24, 1188.6, 1198.07, 1198.39, 1207.31, 1217.47, 1226.79, 1254.33, 1260.29, 1286.53, 1322.56, 1345.88, 1360.85, 1400.01, 1413.88, 1936.51, 3089.1, 3157.7]",0.1114463427872129,-1679.2445814621617,"[('C', -0.02081, 0.132567), ('C', -0.100698, 0.53071), ('O', 0.078781, 0.296209), ('C', -0.45319, 0.009194), ('F', 0.121043, 0.007823), ('F', 0.117292, 0.008932), ('C', -0.352186, 0.001561), ('F', 0.159449, 0.001127), ('F', 0.156391, 0.002316), ('C', -0.34241, -0.000112), ('F', 0.163778, 7.5e-05), ('F', 0.162121, 5.4e-05), ('C', -0.343423, -3e-06), ('F', 0.165332, 2.1e-05), ('F', 0.166034, 1.3e-05), ('C', -0.346747, -5e-06), ('F', 0.169301, 2e-06), ('F', 0.167038, 2e-06), ('C', -0.552424, -1e-06), ('F', 0.188304, -1e-06), ('F', 0.189547, 1e-06), ('F', 0.187372, 0.0), ('H', 0.158254, 0.004035), ('H', 0.161853, 0.005478)]",0.1038181785838787,0.221256836133989,0.1685374762046587,,,False,0.1255889770561451,,,False,-1679.3702648480873,-1679.0763539991488,-1679.21073412,-1679.50154306,,,,ωB97X-V,Range Seperated Hybrid meta GGA,[H]C([H])([C]=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
YJGZFKSUGCHHSV-UHFFFAOYSA-N,O=[S](=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,True,False,False,69,"[('O', -0.472021, 0.235598), ('S', 0.686788, 0.320327), ('O', -0.461859, 0.23249), ('C', 0.736559, 0.130169), ('F', -0.256491, 0.011873), ('O', -0.173535, 0.00956), ('C', 0.547267, 0.006687), ('F', -0.260727, 0.000744), ('F', -0.2526, 0.000563), ('C', 0.947943, -0.001615), ('F', -0.252922, -4.8e-05), ('F', -0.261282, -0.000288), ('C', 0.304739, 0.000243), ('F', -0.219509, 1.4e-05), ('F', -0.211264, 1.2e-05), ('F', -0.212252, 3e-05), ('C', 0.436926, 0.044299), ('F', -0.21152, -0.000623), ('F', -0.208042, 0.00013), ('F', -0.206199, 0.009834)]","[('O', 2.976535, -2.027085, -0.428434), ('S', 2.701253, -1.064477, -1.470994), ('O', 3.762192, -0.356825, -2.146739), ('C', 1.587412, 0.274286, -0.655843), ('F', 1.47391, 1.263663, -1.544727), ('O', 0.403941, -0.379521, -0.391037), ('C', -0.817855, 0.248861, -0.5534), ('F', -0.826587, 1.465986, 0.003047), ('F', -1.118383, 0.382691, -1.849942), ('C', -1.858391, -0.670322, 0.147973), ('F', -1.500131, -0.806014, 1.435207), ('F', -1.83061, -1.872427, -0.450017), ('C', -3.325058, -0.153633, 0.116968), ('F', -4.101196, -1.054578, 0.716966), ('F', -3.42987, 1.002895, 0.767221), ('F', -3.745272, 0.008278, -1.135014), ('C', 2.263343, 0.814482, 0.645715), ('F', 3.561638, 1.021234, 0.426046), ('F', 2.122015, -0.063308, 1.630399), ('F', 1.700915, 1.965515, 1.000904)]","[26.31, 36.68, 44.9, 55.03, 71.5, 81.5, 96.04, 127.82, 149.25, 188.76, 195.33, 205.82, 210.79, 222.54, 247.93, 249.78, 290.29, 301.68, 317.93, 334.74, 361.82, 374.16, 420.97, 440.27, 463.5, 490.25, 530.83, 537.82, 557.66, 564.81, 593.05, 617.7, 651.05, 677.73, 736.66, 770.76, 811.97, 917.34, 986.08, 1123.39, 1133.06, 1144.82, 1153.33, 1188.21, 1205.34, 1214.43, 1216.77, 1223.38, 1228.94, 1233.11, 1320.92, 1336.74, 1358.82, 1390.06]",-1912.74201199,0.00141627,0.00141627,-0.0662871399999858,-1912.71229264,2.625835098,False,False,"(89.116421, 88.963598)","[100, 100, 100, 100, 100, 100, 100, 127.82, 149.25, 188.76, 195.33, 205.82, 210.79, 222.54, 247.93, 249.78, 290.29, 301.68, 317.93, 334.74, 361.82, 374.16, 420.97, 440.27, 463.5, 490.25, 530.83, 537.82, 557.66, 564.81, 593.05, 617.7, 651.05, 677.73, 736.66, 770.76, 811.97, 917.34, 986.08, 1123.39, 1133.06, 1144.82, 1153.33, 1188.21, 1205.34, 1214.43, 1216.77, 1223.38, 1228.94, 1233.11, 1320.92, 1336.74, 1358.82, 1390.06]",0.0768161900775704,-1912.645929759081,"[('O', -0.329842, 0.2348), ('S', 0.937353, 0.32785), ('O', -0.335668, 0.230689), ('C', -0.437365, 0.14475), ('F', 0.145687, 0.018419), ('O', 0.102164, 0.011055), ('C', -0.480343, 0.002584), ('F', 0.191605, 0.000108), ('F', 0.191153, 0.000643), ('C', -0.340845, 0.000134), ('F', 0.177188, 2e-05), ('F', 0.177439, 0.000283), ('C', -0.551129, 5.9e-05), ('F', 0.188427, 2.3e-05), ('F', 0.189262, 2e-06), ('F', 0.19046, 5e-06), ('C', -0.577836, 0.016341), ('F', 0.175141, -0.000216), ('F', 0.192635, 0.000751), ('F', 0.194515, 0.0117)]",0.1949742585079548,0.3053045360170472,0.2118556948372649,,,[-13.94],0.2164473005953416,,,False,-1912.862513684384,-1912.432755423796,-1912.53001899,-1912.95799156,,,,ωB97X-V,Range Seperated Hybrid meta GGA,O=[S](=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F
