Parent_SMILES,Bond_Index,Frag1_SMILES,Frag2_SMILES,BDE_wB97X-V,BDEhet_wB97X-V
[H]C([H])([H])S(=O)(=O)[O-],0,[H][C]([H])[H],O=[S](=O)[O-],77.99672712893198,124.42015194244476
[H]C([H])([H])S(=O)(=O)[O-],3,[H]C([H])([H])[S](=O)=O,[O-],,
[H]C([H])([H])S(=O)(=O)[O-],4,[H][C]([H])S(=O)(=O)[O-],[H],105.60235959262428,123.29803877962746
[H]C([H])([H])C(=O)[O-],0,[H][C]([H])[H],O=[C][O-],85.92420236239064,73.16139452551809
[H]C([H])([H])C(=O)[O-],2,[H]C([H])([H])[C]=O,[O-],,
[H]C([H])([H])C(=O)[O-],3,[H][C]([H])C(=O)[O-],[H],99.40901491462434,101.33426476794284
[H]C([H])(F)S(=O)(=O)[O-],0,[H][C]([H])S(=O)(=O)[O-],[F],113.52042149515597,62.50488833217304
[H]C([H])(F)S(=O)(=O)[O-],1,[H][C]([H])F,O=[S](=O)[O-],73.37725860071941,114.50179053867743
[H]C([H])(F)S(=O)(=O)[O-],4,[H]C([H])(F)[S](=O)=O,[O-],,
[H]C([H])(F)S(=O)(=O)[O-],5,[H][C](F)S(=O)(=O)[O-],[H],102.43190264098757,120.2637260499688
[H]C([H])(F)C(=O)[O-],0,[H][C]([H])C(=O)[O-],[F],112.69267700190582,45.90671450522038
[H]C([H])(F)C(=O)[O-],1,[H][C]([H])F,O=[C][O-],86.6703340188387,68.60863330644705
[H]C([H])(F)C(=O)[O-],3,[H]C([H])(F)[C]=O,[O-],,
[H]C([H])(F)C(=O)[O-],4,[H][C](F)C(=O)[O-],[H],95.77193871646642,126.47329244320247
[H]C(F)(F)S(=O)(=O)[O-],0,[H][C](F)S(=O)(=O)[O-],[F],119.85639307892455,68.97700413791966
[H]C(F)(F)S(=O)(=O)[O-],2,[H][C](F)F,O=[S](=O)[O-],71.34211424702585,104.30163172799809
[H]C(F)(F)S(=O)(=O)[O-],5,[H]C(F)(F)[S](=O)=O,[O-],,
[H]C(F)(F)S(=O)(=O)[O-],6,O=S(=O)([O-])[C](F)F,[H],103.61290522513087,132.53384917658622
[H]C(F)(F)C(=O)[O-],0,[H][C](F)C(=O)[O-],[F],114.51722596072813,76.50736733744239
[H]C(F)(F)C(=O)[O-],2,[H][C](F)F,O=[C][O-],85.95598647146986,59.72927130205676
[H]C(F)(F)C(=O)[O-],4,[H]C(F)(F)[C]=O,[O-],,
[H]C(F)(F)C(=O)[O-],5,O=C([O-])[C](F)F,[H],98.15793670967366,105.29291935962519
O=C([O-])C(F)(F)F,1,O=[C]C(F)(F)F,[O-],,
O=C([O-])C(F)(F)F,2,O=[C][O-],F[C](F)F,91.19466226955353,42.74544252568603
O=C([O-])C(F)(F)F,3,O=C([O-])[C](F)F,[F],122.51343342969278,60.93720372969386
O=S(=O)([O-])C(F)(F)F,2,O=[S](=O)C(F)(F)F,[O-],,
O=S(=O)([O-])C(F)(F)F,3,O=[S](=O)[O-],F[C](F)F,73.85302631941443,84.59003922582525
O=S(=O)([O-])C(F)(F)F,4,O=S(=O)([O-])[C](F)F,[F],125.24063821941922,85.45036982088845
O=C([O-])C(F)(F)C(F)(F)F,1,O=[C]C(F)(F)C(F)(F)F,[O-],,
O=C([O-])C(F)(F)C(F)(F)F,2,O=[C][O-],F[C](F)C(F)(F)F,87.85751288515513,42.55099791880639
