Parent_SMILES,Bond_Index,Frag1_SMILES,Frag2_SMILES,BDE_wB97X-V
[H]C([H])([H])[H],0,[H][C]([H])[H],[H],112.24999237500333
[H]C([H])([H])F,0,[H][C]([H])[H],[F],115.73816447499382
[H]C([H])([H])F,1,[H][C]([H])F,[H],107.42404047499718
[H]C([H])(F)F,0,[H][C]([H])F,[F],122.85107150000705
[H]C([H])(F)F,2,[H][C](F)F,[H],106.80819314999972
[H]C(F)(F)F,0,[H][C](F)F,[F],128.61856205001928
[H]C(F)(F)F,3,F[C](F)F,[H],111.38081702498326
FC(F)(F)F,0,[F],F[C](F)F,130.75140944996477
[H]OC(=O)C([H])([H])[H],0,[H][O],[H]C([H])([H])[C]=O,113.23501049999095
[H]OC(=O)C([H])([H])[H],2,[H]O[C]=O,[H][C]([H])[H],101.74583062500638
[H]OC(=O)C([H])([H])[H],3,[H]C([H])([H])C([O])=O,[H],115.66753935002232
[H]OC(=O)C([H])([H])[H],4,[H]OC(=O)[C]([H])[H],[H],104.96397692500608
[H]OC(=O)C([H])([H])F,0,[H][O],[H]C([H])(F)[C]=O,112.12402175001372
[H]OC(=O)C([H])([H])F,2,[H]O[C]=O,[H][C]([H])F,95.88482375000126
[H]OC(=O)C([H])([H])F,3,[H]OC(=O)[C]([H])[H],[F],107.41709405001544
[H]OC(=O)C([H])([H])F,4,[H]C([H])(F)C([O])=O,[H],117.60209674998691
[H]OC(=O)C([H])([H])F,5,[H]OC(=O)[C]([H])F,[H],98.56981467500589
[H]OC(=O)C([H])(F)F,0,[H][O],[H]C(F)(F)[C]=O,112.85466392503025
[H]OC(=O)C([H])(F)F,2,[H]O[C]=O,[H][C](F)F,91.34574602500223
[H]OC(=O)C([H])(F)F,3,[H]OC(=O)[C]([H])F,[F],110.07361530001418
[H]OC(=O)C([H])(F)F,5,[H]C(F)(F)C([O])=O,[H],95.74915824999422
[H]OC(=O)C([H])(F)F,6,[H]OC(=O)[C](F)F,[H],99.75813025000974
[H]OC(=O)C(F)(F)F,0,[H][O],O=[C]C(F)(F)F,113.38393507499376
[H]OC(=O)C(F)(F)F,2,[H]O[C]=O,F[C](F)F,93.00122907496302
[H]OC(=O)C(F)(F)F,3,[H]OC(=O)[C](F)F,[F],118.65135832504222
[H]OC(=O)C(F)(F)F,6,[O]C(=O)C(F)(F)F,[H],97.60080407497838
[H]OS(=O)(=O)C([H])([H])[H],0,[H][O],[H]C([H])([H])[S](=O)=O,91.70205307497582
[H]OS(=O)(=O)C([H])([H])[H],3,[H]O[S](=O)=O,[H][C]([H])[H],83.5626501749718
[H]OS(=O)(=O)C([H])([H])[H],4,[H]C([H])([H])S([O])(=O)=O,[H],113.42016064998148
[H]OS(=O)(=O)C([H])([H])[H],5,[H]OS(=O)(=O)[C]([H])[H],[H],111.71585809999414
[H]OS(=O)(=O)C([H])([H])F,0,[H][O],[H]C([H])(F)[S](=O)=O,91.87910219996041
[H]OS(=O)(=O)C([H])([H])F,3,[H]O[S](=O)=O,[H][C]([H])F,73.97310104999576
[H]OS(=O)(=O)C([H])([H])F,4,[H]OS(=O)(=O)[C]([H])[H],[F],110.44043297501474
[H]OS(=O)(=O)C([H])([H])F,5,[H]C([H])(F)S([O])(=O)=O,[H],113.01290687500597
[H]OS(=O)(=O)C([H])([H])F,6,[H]OS(=O)(=O)[C]([H])F,[H],106.74080592495727
[H]OS(=O)(=O)C([H])(F)F,0,[H][O],[H]C(F)(F)[S](=O)=O,90.55810802492914
[H]OS(=O)(=O)C([H])(F)F,3,[H]O[S](=O)=O,[H][C](F)F,69.05203269998026
[H]OS(=O)(=O)C([H])(F)F,4,[H]OS(=O)(=O)[C]([H])F,[F],117.86261592498477
[H]OS(=O)(=O)C([H])(F)F,6,[H]C(F)(F)S([O])(=O)=O,[H],114.25755312496676
[H]OS(=O)(=O)C([H])(F)F,7,[H]OS(=O)(=O)[C](F)F,[H],105.20222612495814
[H]OS(=O)(=O)C(F)(F)F,0,[H][O],O=[S](=O)C(F)(F)F,91.6949874250065
[H]OS(=O)(=O)C(F)(F)F,3,[H]O[S](=O)=O,F[C](F)F,69.72691522502913
[H]OS(=O)(=O)C(F)(F)F,4,[H]OS(=O)(=O)[C](F)F,[F],123.11485367504304
[H]OS(=O)(=O)C(F)(F)F,7,[O]S(=O)(=O)C(F)(F)F,[H],116.02207057499612
[H]OC(=O)C(F)(F)C(F)(F)F,0,[H][O],O=[C]C(F)(F)C(F)(F)F,113.32204474997809
[H]OC(=O)C(F)(F)C(F)(F)F,2,[H]O[C]=O,F[C](F)C(F)(F)F,89.72515825004393
[H]OC(=O)C(F)(F)C(F)(F)F,3,[H]OC(=O)[C](F)C(F)(F)F,[F],110.2268884500424
[H]OC(=O)C(F)(F)C(F)(F)F,5,[H]OC(=O)[C](F)F,F[C](F)F,87.4710213749745
[H]OC(=O)C(F)(F)C(F)(F)F,6,[H]OC(=O)C(F)(F)[C](F)F,[F],125.47619265004727
[H]OC(=O)C(F)(F)C(F)(F)F,9,[O]C(=O)C(F)(F)C(F)(F)F,[H],119.83258942499049
[H]OS(=O)(=O)C(F)(F)C(F)(F)F,0,[H][O],O=[S](=O)C(F)(F)C(F)(F)F,91.3122187000505
[H]OS(=O)(=O)C(F)(F)C(F)(F)F,3,[H]O[S](=O)=O,F[C](F)C(F)(F)F,65.91791492495531
