Parent_SMILES,Frag1_SMILES,Frag2_SMILES,BDE_wB97X-V,solvent
[H]C([H])([H])S(=O)(=O)[O-],[H][C]([H])[H],O=[S](=O)[O-],77.99672712893198,water
[H]C([H])([H])S(=O)(=O)[O-],[H][C]([H])S(=O)(=O)[O-],[H],105.60235959262428,water
[H]C([H])([H])C(=O)[O-],[H][C]([H])[H],O=[C][O-],85.92420236239064,water
[H]C([H])([H])C(=O)[O-],[H][C]([H])C(=O)[O-],[H],99.40901491462434,water
[H]C([H])(F)S(=O)(=O)[O-],[H][C]([H])S(=O)(=O)[O-],[F],113.52042149515596,water
[H]C([H])(F)S(=O)(=O)[O-],[H][C]([H])F,O=[S](=O)[O-],73.37725860071941,water
[H]C([H])(F)S(=O)(=O)[O-],[H][C](F)S(=O)(=O)[O-],[H],102.43190264098756,water
[H]C([H])(F)C(=O)[O-],[H][C]([H])C(=O)[O-],[F],112.69267700190582,water
[H]C([H])(F)C(=O)[O-],[H][C]([H])F,O=[C][O-],86.6703340188387,water
[H]C([H])(F)C(=O)[O-],[H][C](F)C(=O)[O-],[H],95.77193871646642,water
[H]C(F)(F)S(=O)(=O)[O-],[H][C](F)S(=O)(=O)[O-],[F],119.85639307892455,water
[H]C(F)(F)S(=O)(=O)[O-],[H][C](F)F,O=[S](=O)[O-],71.34211424702585,water
[H]C(F)(F)S(=O)(=O)[O-],O=S(=O)([O-])[C](F)F,[H],103.61290522513087,water
[H]C(F)(F)C(=O)[O-],[H][C](F)C(=O)[O-],[F],114.51722596072813,water
[H]C(F)(F)C(=O)[O-],[H][C](F)F,O=[C][O-],85.95598647146986,water
[H]C(F)(F)C(=O)[O-],O=C([O-])[C](F)F,[H],98.15793670967366,water
O=C([O-])C(F)(F)F,O=[C][O-],F[C](F)F,91.19466226955352,water
O=C([O-])C(F)(F)F,O=C([O-])[C](F)F,[F],122.51343342969278,water
O=S(=O)([O-])C(F)(F)F,O=[S](=O)[O-],F[C](F)F,73.85302631941443,water
O=S(=O)([O-])C(F)(F)F,O=S(=O)([O-])[C](F)F,[F],125.24063821941922,water
O=C([O-])C(F)(F)C(F)(F)F,O=[C][O-],F[C](F)C(F)(F)F,87.85751288515513,water
O=C([O-])C(F)(F)C(F)(F)F,O=C([O-])[C](F)C(F)(F)F,[F],113.3599202928704,water
O=C([O-])C(F)(F)C(F)(F)F,O=C([O-])[C](F)F,F[C](F)F,92.93491595107469,water
O=C([O-])C(F)(F)C(F)(F)F,O=C([O-])C(F)(F)[C](F)F,[F],125.63161350754427,water
O=S(=O)([O-])C(F)(F)C(F)(F)F,O=[S](=O)[O-],F[C](F)C(F)(F)F,69.30898142803528,water
O=S(=O)([O-])C(F)(F)C(F)(F)F,O=S(=O)([O-])[C](F)C(F)(F)F,[F],116.53184883372604,water
O=S(=O)([O-])C(F)(F)C(F)(F)F,O=S(=O)([O-])[C](F)F,F[C](F)F,94.45522523389172,water
O=S(=O)([O-])C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)[C](F)F,[F],124.06111023062748,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)F,O=[C][O-],F[C](F)C(F)(F)C(F)(F)F,87.04847963396645,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)F,O=C([O-])[C](F)C(F)(F)C(F)(F)F,[F],112.59355622260811,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)F,O=C([O-])[C](F)F,F[C](F)C(F)(F)F,87.95354206632084,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)F,O=C([O-])C(F)(F)[C](F)C(F)(F)F,[F],116.69041171714298,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)F,O=C([O-])C(F)(F)[C](F)F,F[C](F)F,94.40887152857071,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)F,O=C([O-])C(F)(F)C(F)(F)[C](F)F,[F],124.65734706469078,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)F,O=[S](=O)[O-],F[C](F)C(F)(F)C(F)(F)F,67.95820981580391,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])[C](F)C(F)(F)C(F)(F)F,[F],114.7839856984092,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])[C](F)F,F[C](F)C(F)(F)F,88.93211298802385,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)[C](F)C(F)(F)F,[F],113.80534345483738,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)[C](F)F,F[C](F)F,92.29662989046858,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)C(F)(F)[C](F)F,[F],125.04617550183696,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=[S](=O)[O-],F[C](F)C(F)(F)C(F)(F)C(F)(F)F,68.49905302274976,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])[C](F)C(F)(F)C(F)(F)C(F)(F)F,[F],114.76363872985304,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])[C](F)F,F[C](F)C(F)(F)C(F)(F)F,87.576926842126,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)[C](F)C(F)(F)C(F)(F)F,[F],112.45941462009056,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)[C](F)F,F[C](F)C(F)(F)F,86.76910311093422,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)C(F)(F)[C](F)C(F)(F)F,[F],113.48162372478156,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)C(F)(F)[C](F)F,F[C](F)F,93.27728062801155,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)[C](F)F,[F],123.90784142097571,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=[C][O-],F[C](F)C(F)(F)C(F)(F)C(F)(F)F,87.44406279334044,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C([O-])[C](F)C(F)(F)C(F)(F)C(F)(F)F,[F],112.08247847334631,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C([O-])[C](F)F,F[C](F)C(F)(F)C(F)(F)F,86.45309587285112,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C([O-])C(F)(F)[C](F)C(F)(F)C(F)(F)F,[F],114.6381091090018,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C([O-])C(F)(F)[C](F)F,F[C](F)C(F)(F)F,88.7360847014645,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C([O-])C(F)(F)C(F)(F)[C](F)C(F)(F)F,[F],113.93945270256722,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C([O-])C(F)(F)C(F)(F)[C](F)F,F[C](F)F,92.7431921434362,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C([O-])C(F)(F)C(F)(F)C(F)(F)[C](F)F,[F],124.0984972125085,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=[C][O-],F[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,87.48193888004607,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C([O-])[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[F],112.15828129837008,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C([O-])[C](F)F,F[C](F)C(F)(F)C(F)(F)C(F)(F)F,86.85796525522562,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C([O-])C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,[F],113.98134952533952,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C([O-])C(F)(F)[C](F)F,F[C](F)C(F)(F)C(F)(F)F,87.24492473113798,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C([O-])C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)F,[F],111.91396374720796,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C([O-])C(F)(F)C(F)(F)[C](F)F,F[C](F)C(F)(F)F,87.07969153947317,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C([O-])C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)F,[F],113.88195406556576,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C([O-])C(F)(F)C(F)(F)C(F)(F)[C](F)F,F[C](F)F,92.19362851425444,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,[F],124.19520391857644,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=[S](=O)[O-],F[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,68.69129990717283,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[F],114.5854253345908,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])[C](F)F,F[C](F)C(F)(F)C(F)(F)C(F)(F)F,88.13616702236061,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,[F],112.23236753482696,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)[C](F)F,F[C](F)C(F)(F)C(F)(F)F,85.43231393846781,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)F,[F],111.56548982698212,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)C(F)(F)[C](F)F,F[C](F)C(F)(F)F,87.76815082190865,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)F,[F],114.12288345118554,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)[C](F)F,F[C](F)F,92.15734352058178,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,[F],124.4473976263339,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=[C][O-],F[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,87.38653738457288,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C([O-])[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[F],112.15569285956576,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C([O-])[C](F)F,F[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,86.89582436665205,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C([O-])C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[F],113.9669341525348,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C([O-])C(F)(F)[C](F)F,F[C](F)C(F)(F)C(F)(F)C(F)(F)F,87.64977713823328,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C([O-])C(F)(F)C(F)(F)[C](F)F,F[C](F)C(F)(F)C(F)(F)F,85.58851459372477,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C([O-])C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)F,[F],112.13664812835871,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C([O-])C(F)(F)C(F)(F)C(F)(F)[C](F)F,F[C](F)C(F)(F)F,86.53011093486953,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)F,[F],114.15577320710328,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,F[C](F)F,92.2903182449005,water
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,[F],124.0133242522279,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=[S](=O)[O-],F[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,68.30836557718726,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[F],114.11245326048515,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])[C](F)F,F[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,87.88649329898931,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[F],111.83058846238964,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)[C](F)F,F[C](F)C(F)(F)C(F)(F)C(F)(F)F,85.5496335106227,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,[F],110.86833209570727,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)C(F)(F)[C](F)F,F[C](F)C(F)(F)C(F)(F)F,85.98944104150519,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)F,[F],112.18715092445564,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)[C](F)F,F[C](F)C(F)(F)F,86.2062931065418,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)F,[F],114.04001945204072,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,F[C](F)F,92.2549791180029,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,[F],123.54895362002594,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=[S](=O)[O-],F[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,68.22777727675088,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[F],114.22597981245984,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])[C](F)F,F[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,87.9266204789019,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[F],112.18833241998254,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)[C](F)F,F[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,85.72302129757759,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[F],111.67637186438924,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)C(F)(F)[C](F)F,F[C](F)C(F)(F)C(F)(F)C(F)(F)F,86.52982212384359,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)C(F)(F)F,[F],111.87182595542708,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)[C](F)F,F[C](F)C(F)(F)C(F)(F)F,84.85064483632186,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)C(F)(F)C(F)(F)F,[F],111.6899758905572,water
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C](F)F,F[C](F)C(F)(F)F,86.72699021400376,water
